date,ghi,delta,mak,sza,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage,GHIera,GHIeracc,msl,ie,hcc,d2m,GHIl,GHImerra
2022-03-10 20:00:00,113.72168284789645,-4.403703272840077,1.322286709334112,60.02877317585207,683.8465,539.4707999999999,356.0568,256.942555,13.012375,0.0013033333333333,0.0002716666666666,0.0001,0.0235133333333333,0.0171,97.8,256.95703125,415.8984375,100963.9975,-1.365435275e-06,0.76729201875,277.31317,544.975,275.5
2022-03-10 21:00:00,119.65659834591872,-4.403703272840077,2.338923118615287,73.60849421837088,378.0331,271.0551,26.4576,256.65758666666665,13.657433333333334,0.0012033333333333,0.0002516666666666,0.0001,0.0229,0.0171649999999999,100.0,126.36328125,169.44140625,101083.60875,-1.08155655e-06,0.573177325,278.52200125,146.45000249999998,68.78125
2022-03-11 11:00:00,125.07970753925446,-4.011667131882717,2.6452371160360726,75.55437195071897,389.8865333333333,281.3426666666667,82.93093333333333,264.7420088888889,11.852048888888888,0.0013333333333333,0.0013,0.0001,0.0241244444444444,0.0217555555555555,92.55555555555556,196.546875,352.796875,101825.59500000002,-5.51540875e-06,0.0152740474999999,279.064945,199.0,135.1875
2022-03-11 12:00:00,339.79683567062204,-4.011667131882717,1.4052278577842032,61.96255355863781,657.5351,517.8532,218.7794,264.8457,11.716263333333334,0.0012416666666666,0.0013,0.0001,0.0220649999999999,0.0204466666666666,100.0,392.27734375,572.0234375,101759.09625,-8.342205562500001e-06,0.01865768425,278.57528875,433.825005,268.5
2022-03-11 13:00:00,560.2876663070838,-4.011667131882717,1.0002468843288477,48.656499816589566,923.1946,758.323,394.9355,264.6348183333333,11.7545,0.0010999999999999,0.0012016666666666,0.0001,0.0191233333333332,0.0179266666666666,98.06666666666666,599.55078125,793.55078125,101638.7975,-1.205489375e-05,0.04449844375,277.82631875,627.875,484.125
2022-03-11 15:00:00,1098.5436893203882,-4.011667131882717,0.7323317261265784,25.521375318106557,1258.3567,1065.0018,887.8403000000001,264.15693666666664,12.145448333333333,0.0009,0.0009149999999999,0.0001,0.0141016666666666,0.0133433333333333,37.88333333333333,771.42578125,1046.441425,101410.146875,-2.778923925e-05,0.0846443175,277.327065,1040.825,805.75
2022-03-11 16:00:00,809.0956490471053,-4.011667131882717,0.7051190486480918,20.40161333670575,1304.982,1106.0752,903.8535,263.8338233333333,12.812635,0.000805,0.0006416666666666,0.0001,0.0128816666666666,0.0117499999999999,41.93333333333334,760.65625,1056.1914375,101311.734375,-1.905366625e-05,0.18320083625,277.677285,1088.7,838.0
2022-03-11 18:00:00,503.6677454153182,-4.011667131882717,0.8028664698356376,34.603922790709774,1140.5914,953.5509,538.7336,262.71419833333334,13.711888333333334,0.0008,0.0002,0.0001,0.0109516666666666,0.0094333333333333,97.0,421.82421875,847.890625,101280.01625,-1.19960895625e-05,0.5337066625,278.31929375,740.10002,673.5
2022-03-11 20:00:00,439.0614886731392,-4.011667131882717,1.3314691004073882,60.2566163291234,678.9656,538.2577,190.5235,260.1743783333333,13.305798333333334,0.0007,0.0003,0.0001,0.0105733333333333,0.0096933333333333,100.0,185.5859375,399.45703125,101487.086875,-8.9650566125e-06,0.7251129125,278.12932625,469.15001,306.5
2022-03-12 11:00:00,79.05789284430061,-3.618856729348031,2.663538792212479,75.6559757399916,387.68773333333337,288.45640000000003,94.54826666666668,258.9348244444445,9.061882222222224,0.001,0.0005,0.0001,0.0107777777777777,0.0100866666666666,97.31111111111112,150.765625,358.0625,102009.40750000002,-5.3299591e-06,0.0821685799999999,275.457155,226.325005,263.625
2022-03-12 12:00:00,478.2272563825962,-3.618856729348031,1.41037231607949,62.07391649741578,655.1717,526.4403,288.321,259.1677466666667,8.506665,0.0012166666666666,0.00045,0.0001,0.0125199999999999,0.0091749999999999,96.51666666666668,280.86328125,580.6953125,101905.7125,-9.4660500625e-06,0.06697845475,275.84055,481.65,546.25
