date,ghi,delta,mak,sza,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage
2017-01-22 16:30:00,1105.678666666667,-19.865473276652246,0.9554681470116841,4.218811531605032,1401.9060000000002,1122.228,1122.228,252.2445,26.2466,0.0058,0.0005,0.0018,0.038,0.0083,0
2017-01-22 16:45:00,1096.838,-19.865473276652246,0.959269198496092,6.61811460195219,1399.026,1119.6299999999999,1119.6299999999999,252.128,26.2401,0.0058,0.0005,0.0018,0.0381,0.0084,0
2017-01-22 17:00:00,1087.5413333333331,-19.865473276652246,0.9666858950285829,9.697453841515369,1390.9560000000001,1112.3999999999999,1112.3999999999999,252.0116,26.2335,0.0058,0.0005,0.0018,0.0383,0.0084,0
2017-01-22 17:15:00,1078.5006666666666,-19.865473276652246,0.9778541664676272,12.98044970033376,1377.7379999999998,1100.5919999999999,1100.5919999999999,251.8952,26.227,0.0058,0.0005,0.0018,0.0384,0.0085,0
2017-01-22 17:30:00,1064.09,-19.865473276652246,0.9929831726778794,16.343476942774267,1359.426,1084.2540000000001,1084.2540000000001,251.7788,26.2204,0.0058,0.0005,0.0018,0.0386,0.0085,0
2017-01-22 17:45:00,1045.7833333333333,-19.865473276652246,1.0123650306803598,19.744170024443054,1336.098,1063.482,1063.482,251.6623,26.2138,0.0058,0.0005,0.0018,0.0387,0.0086,0
2017-01-22 18:00:00,1014.9873333333333,-19.865473276652246,1.0363889701532207,23.164311998338086,1307.85,1038.354,1038.354,251.5455,26.2128,0.0059,0.0005,0.0018,0.0389,0.0086,0
2017-01-22 18:15:00,976.5346666666668,-19.865473276652246,1.0655612604463693,26.59466210460644,1274.808,1008.5280000000001,1008.5280000000001,251.4168,26.3703,0.0059,0.0005,0.0019,0.0397,0.0087,0
2017-01-22 18:30:00,939.78,-19.865473276652246,1.1005329091104434,30.029887092030535,1237.1100000000001,974.646,974.646,251.2882,26.5278,0.006,0.0005,0.0019,0.0405,0.0088,0
2017-01-22 18:45:00,907.5366666666666,-19.865473276652246,1.1421381399426176,33.46655530718397,1194.918,936.87,936.87,251.1595,26.6853,0.0061,0.0005,0.0019,0.0413,0.0089,0
2017-01-22 19:00:00,871.1106666666667,-19.865473276652246,1.1914482261103745,36.902235398980345,1148.412,895.386,820.98,251.0308,26.8428,0.0061,0.0005,0.002,0.0421,0.009,38
2017-01-22 19:15:00,824.5673333333333,-19.865473276652246,1.249847758952525,40.335048934634045,1097.796,850.3979999999999,698.286,250.9021,27.0003,0.0062,0.0005,0.002,0.0429,0.0091,51
2017-01-22 19:30:00,779.7673333333333,-19.865473276652246,1.3191445550018528,43.76342916954587,1043.2800000000002,802.146,426.552,250.7735,27.1578,0.0063,0.0005,0.002,0.0436,0.0092,60
2017-01-22 19:45:00,651.7233333333334,-19.865473276652246,1.401731402806147,47.18598102085993,985.098,750.876,296.706,250.6448,27.3154,0.0064,0.0005,0.0021,0.0444,0.0093,63
2017-01-22 20:00:00,605.8726666666666,-19.865473276652246,1.5008301557915935,50.60139378888117,923.502,696.864,410.154,250.5161,27.4729,0.0064,0.0005,0.0021,0.0452,0.0094,57
2017-01-22 20:15:00,606.2199999999999,-19.865473276652246,1.6208711760966505,54.00838258390836,858.756,640.3979999999999,308.514,250.3874,27.6304,0.0065,0.0005,0.0021,0.046,0.0095,63
2017-01-22 20:30:00,504.9620000000001,-19.865473276652246,1.7681041698704236,57.40564575392942,791.1360000000001,581.79,375.40200000000004,250.2588,27.7879,0.0066,0.0005,0.0022,0.0468,0.0097,41
2017-01-22 20:45:00,493.2206666666667,-19.865473276652246,1.9516232141373733,60.79183119353872,720.924,521.3820000000001,142.83599999999998,250.1301,27.9454,0.0067,0.0005,0.0022,0.0476,0.0098,87
2017-01-22 21:00:00,260.49266666666665,-19.865473276652246,2.1851749064729953,64.16550729827435,648.432,459.504,43.218,250.0054,28.1083,0.0067,0.0005,0.0022,0.0485,0.0099,100
2017-01-22 21:15:00,237.456,-19.865473276652246,2.490548982186689,67.52513587027912,573.966,395.712,31.368000000000002,249.9959,28.4266,0.0071,0.0006,0.0025,0.0515,0.0109,100
2017-01-22 21:30:00,200.2553333333333,-19.865473276652246,2.9044424841732766,70.8690451208526,497.844,331.476,28.326,249.9864,28.7449,0.0075,0.0006,0.0027,0.0546,0.0118,82
2017-01-22 21:45:00,127.62466666666668,-19.865473276652246,3.4938031019961335,74.1954013694142,420.39,267.426,23.262,249.9769,29.0633,0.0078,0.0006,0.003,0.0577,0.0128,-1
2017-01-22 22:00:00,47.212,-19.865473276652246,4.395038444071668,77.50217826960908,341.934,204.372,17.778,249.9674,29.3816,0.0082,0.0006,0.0033,0.0607,0.0138,-1
